Clock,Servers,QueueSize,Processed,Blocked
[Cycle 86] Servers: 10, Queue: 225, Processed: 53, Blocked: 0
[Cycle 87] Servers: 10, Queue: 225, Processed: 54, Blocked: 0
[Cycle 88] Servers: 10, Queue: 226, Processed: 54, Blocked: 0
[Cycle 89] Servers: 10, Queue: 227, Processed: 54, Blocked: 0
[Cycle 90] Servers: 10, Queue: 227, Processed: 55, Blocked: 0
[Cycle 91] Servers: 10, Queue: 228, Processed: 55, Blocked: 0
[Cycle 92] Servers: 10, Queue: 229, Processed: 55, Blocked: 0
[Cycle 93] Servers: 10, Queue: 229, Processed: 56, Blocked: 0
[Cycle 94] Servers: 10, Queue: 228, Processed: 58, Blocked: 0
[Cycle 95] Servers: 10, Queue: 229, Processed: 58, Blocked: 0
[Cycle 96] Servers: 10, Queue: 228, Processed: 60, Blocked: 0
[Cycle 97] Servers: 10, Queue: 228, Processed: 61, Blocked: 0
[Cycle 98] Servers: 10, Queue: 229, Processed: 61, Blocked: 0
[Cycle 99] Servers: 10, Queue: 230, Processed: 61, Blocked: 0
[Cycle 100] Servers: 10, Queue: 231, Processed: 61, Blocked: 0
[Cycle 101] Servers: 10, Queue: 232, Processed: 61, Blocked: 0
[Cycle 102] Servers: 10, Queue: 232, Processed: 62, Blocked: 0
[Cycle 103] Servers: 10, Queue: 233, Processed: 62, Blocked: 0
[Cycle 104] Servers: 10, Queue: 233, Processed: 63, Blocked: 0
[Cycle 105] Servers: 10, Queue: 234, Processed: 63, Blocked: 0
[Cycle 106] Servers: 10, Queue: 234, Processed: 64, Blocked: 0
[Cycle 107] Servers: 10, Queue: 235, Processed: 64, Blocked: 0
[Cycle 108] Servers: 10, Queue: 236, Processed: 64, Blocked: 0
[Cycle 109] Servers: 10, Queue: 236, Processed: 65, Blocked: 0
[Cycle 110] Servers: 10, Queue: 237, Processed: 65, Blocked: 0
[Cycle 111] Servers: 10, Queue: 238, Processed: 65, Blocked: 0
[Cycle 112] Servers: 10, Queue: 239, Processed: 65, Blocked: 0
[Cycle 113] Servers: 10, Queue: 239, Processed: 66, Blocked: 0
[Cycle 114] Servers: 10, Queue: 240, Processed: 66, Blocked: 0
[Cycle 115] Servers: 10, Queue: 240, Processed: 67, Blocked: 0
[Cycle 116] Servers: 10, Queue: 240, Processed: 68, Blocked: 0
[Cycle 117] Servers: 10, Queue: 241, Processed: 68, Blocked: 0
